EQUIPMENT,DESCRIPTION,MODEL,CAPACITY,FLYWHEEL HORSEPOWER,Fixed Price,Base Price
Bulldozer,Bulldozer,DX175,-,167," ?3,824.00 ","3,212.00"
Bulldozer w/ Ripper,Bulldozer w/ Ripper,DX175,-,167," ?4,397.60 ","3,693.80"
Payloader,Payloader,LX80-2C,1.50 cu.m./1.95 cu.yd,110," ?1,733.00 ","1,455.00"
Motorized Road Grader,Motorized Road Grader,G710B,-,163," ?3,298.00 ","2,770.00"
Motorized Road Grader w/ Scarifier,Motorized Road Grader w/ Scarifier,G710B,-,163," ?3,792.70 ","3,186.50"
Pneumatic Tire Roller,Pneumatic Tire Roller,"9-WHL, 9.00X20, 4PR",10 mt,107, ?589.00 ,557
Vibratory Roller,Vibratory Roller,SD100DC,10 mt,125," ?1,939.00 ","1,730.00"
Tandem Steel Roller,Tandem Steel Roller,HD110,11 mt,134," ?2,164.00 ","1,930.00"
Plate Compactor,Plate Compactor,400-500 GASOLINE ENGINE,0,5, ?129.25 ,129.25
"Crawler Crane, Standard Boom","Crawler Crane, Standard Boom",ALL MODELS,6-10 mt,100, ?860.00 ,806
"Crawler Crane, Standard Boom","Crawler Crane, Standard Boom",ALL MODELS,21-25 mt,145," ?1,918.00 ","1,797.00"
"Crawler Crane, Standard Boom","Crawler Crane, Standard Boom",ALL MODELS,36-40 mt,190," ?2,397.00 ","2,246.00"
"Crawler Crane w/ Bucket, Standard Boom","Crawler Crane w/ Bucket, Standard Boom",ALL MODELS,36-40 mt,190," ?2,876.40 ","2,540.00"
"Crawler Crane, Standard Boom","Crawler Crane, Standard Boom",ALL MODELS,41-45 mt,190," ?2,711.00 ","2,540.00"
"Crawler Crane, Standard Boom","Crawler Crane, Standard Boom",ALL MODELS,51-60 mt,275," ?3,500.00 ","3,280.00"
"Crawler Crane, Standard Boom","Crawler Crane, Standard Boom",ALL MODELS,61-70 mt,275," ?4,501.00 ","4,218.00"
"Crawler Crane, Standard Boom","Crawler Crane, Standard Boom",ALL MODELS,71- 80 mt,285," ?4,530.00 ","4,245.00"
"Truck Mounted Crane, Standard Lattice Boom","Truck Mounted Crane, Standard Lattice Boom",ALL MODELS,6-10 mt,100, ?794.00 ,636
"Truck Mounted Crane, Standard Lattice Boom","Truck Mounted Crane, Standard Lattice Boom",ALL MODELS,21-25 mt,200," ?1,691.00 ","1,522.00"
"Truck Mounted Crane, Standard Lattice Boom","Truck Mounted Crane, Standard Lattice Boom",ALL MODELS,31-35 mt,238," ?2,055.00 ","1,849.00"
"Truck Mounted Crane, Standard Lattice Boom","Truck Mounted Crane, Standard Lattice Boom",ALL MODELS,41-45 mt,246," ?2,344.00 ","2,110.00"
"Truck Mounted Crane w/ Bucket, Standard Lattice Boom","Truck Mounted Crane w/ Bucket, Standard Lattice Boom",ALL MODELS,41-45 mt,246," ?2,812.80 ","2,532.00"
"Truck Mounted Crane, Standard Lattice Boom","Truck Mounted Crane, Standard Lattice Boom",ALL MODELS,51-60 mt,280," ?3,283.00 ","2,955.00"
"Truck Mounted Crane, Hydraulic Telescopic Boom","Truck Mounted Crane, Hydraulic Telescopic Boom",ALL MODELS,2-5 mt,100, ?718.00 ,576
Topless Tower Crane,Topless Tower Crane,MDT 98-1.2M,55MX6T/1.2T,0," ?5,851.00 ","5,851.00"
Topless Tower Crane,Topless Tower Crane,MDT 128,55MX6T/1.6T,0," ?7,857.00 ","7,857.00"
Topless Tower Crane,Topless Tower Crane,MDT 132 G8,55MX8T/1.6T,0," ?8,092.00 ","8,092.00"
Topless Tower Crane,Topless Tower Crane,MDT 162 H8,60MX8T/1.8T,0," ?8,363.00 ","8,363.00"
Topless Tower Crane,Topless Tower Crane,MDT 178,60MX8T/1.5T,0," ?8,906.00 ","8,906.00"
Topless Tower Crane,Topless Tower Crane,MDT 192-H12,60MX1.2T/2.2T,0," ?9,127.00 ","9,127.00"
"Aerial Lift, Self Propelled, Scissor Lift","Aerial Lift, Self Propelled, Scissor Lift",GS4080 GAS/DIESEL DRIVEN,40 ft hts x 46 ft range,60," ?1,455.00 ","1,455.00"
"Straight Boom Lift, Telescopic (Gas/ Diesel)","Straight Boom Lift, Telescopic (Gas/ Diesel)",60H,1000 lb x 60'ht x 66'range,43," ?1,373.00 ","1,373.00"
Backhoe,Backhoe,HD820 III,0.80 cu.m./ 1.05 yd3,150," ?2,543.00 ","1,685.00"
Backhoe with Breaker,Backhoe with Breaker,HD820 III,0.80 cu.m./ 1.05 yd4,150," ?3,305.90 ","2,190.50"
"Backhoe, Wheel Mounted","Backhoe, Wheel Mounted",PW60N-1,0.28 cu.m./0.37yd3,50," ?1,354.00 ",806
Diesel Hammer,Diesel Hammer,K25-DSL,7500 kg-m,0," ?1,681.00 ","1,681.00"
Vibro Hammer,Vibro Hammer,"VIBRO FONCEUR, PTC25H1A",45000 kg-m,272.22," ?3,222.00 ","2,707.00"
Vibro Hammer,Vibro Hammer,MHF12 W/ HYD. POWER PACK,120kN-m,222," ?4,324.00 ","3,632.00"
Vibro Hammer,Vibro Hammer,DPD600T HYDRAULIC PILE DRIVER,60 ton,201," ?2,229.00 ","1,873.00"
Drilling Rig,Drilling Rig,"C.M.V. TH18/65, 2000mm? 65m depth & 18000kg-m DRILL TORQUE",0,300," ?13,900.00 ","11,676.00"
Asphalt Ditributor,Asphalt Ditributor,ROSCO/5 TON,3000 USG,100, ?983.00 ,826
Asphalt Paver,Asphalt Paver,NF220BIIVDM,0,80," ?1,924.00 ","1,616.00"
Cold Milling Machine,Cold Milling Machine,"W130F, milling width 1300 mm max depth 300 mm",0,304," ?7,498.00 ","5,875.00"
Cold Milling Machine,Cold Milling Machine,"100, TCD 2012 L06 2V, milling width 1 meter max depth 300mm",0,211," ?5,580.00 ","4,687.00"
Concrete Paver,Concrete Paver,"COMMANDER III, FOUR-TRACK",0,169," ?7,103.00 ","5,967.00"
Concrete Screeder,Concrete Screeder,WACKER TRUSS SCREED,0,5.5, ?572.00 ,480
