Material Code,Works,Category,Material Description,Unit
MG01.0001,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,COMMON BORROW,CUM
MG01.0002,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,SELECTED BORROW,CUM
MG01.0003,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,AGGREGATE SUBBASE COURSE,CUM
MG01.0004,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,AGGREGATE BASE COURSE,CUM
MG01.0005,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,AGGREGATE BASE COURSE (CRUSHED),CUM
MG01.0006,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,AGGREGATE SURFACE COURSE,CUM
MG01.0007,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,AGGREGATE SURFACE COURSE (CRUSHED),CUM
MG01.0008,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,FINE AGGREGATE (SAND),CUM
MG01.0009,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,"GRAVEL, 3/4"" (MAS 20 mm)",CUM
MG01.0010,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,"GRAVEL, G1 (MAS 40 mm)",CUM
MG01.0011,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,"GRAVEL, NATURAL",CUM
MG01.0012,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,"STONE, CLASS A (15 - 25 kg)",CUM
MG01.0013,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,"STONE, CLASS B (30 - 70 kg)",CUM
MG01.0014,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,"STONE, CLASS C (60 - 100 kg)",CUM
MG01.0015,GENERAL WORKS,AGGREGATE AND EARTH MATERIAL,"STONE, CLASS D (100 - 200 kg)",CUM
MG02.0001,GENERAL WORKS,BITUMINOUS MATERIAL,"ASPHALT CEMENT, PENETRATION GRADE 30-50",MTON
MG02.0002,GENERAL WORKS,BITUMINOUS MATERIAL,"ASPHALT CEMENT, PENETRATION GRADE 60-70",MTON
MG02.0003,GENERAL WORKS,BITUMINOUS MATERIAL,"ASPHALT CEMENT, PENETRATION GRADE 85-100",MTON
MG02.0004,GENERAL WORKS,BITUMINOUS MATERIAL,"ASPHALT CEMENT, PENETRATION GRADE 120-150",MTON
MG02.0005,GENERAL WORKS,BITUMINOUS MATERIAL,"ASPHALT CONCRETE, COLD-LAID (PLANT MIX)",MTON
MG02.0006,GENERAL WORKS,BITUMINOUS MATERIAL,"ASPHALT CONCRETE, HOT-LAID (PLANT MIX)",MTON
