MATERIAL CODE,Unit Price
MG01.0001, 544.64 
MG01.0002, 593.75 
MG01.0003, 580.36 
MG01.0004, 750.00 
MG01.0005, 705.36 
MG01.0008, 714.29 
MG01.0009," 1,026.79 "
MG01.0010," 1,026.79 "
MG01.0012, 937.50 
MG01.0013, 794.64 
MG01.0014, 750.00 
MG01.0015, 669.64 
MG02.0006," 7,946.43 "
MG03.0002, 232.14 
MG04.0001, 21.00 
MG04.0002, 23.00 
MG04.0003, 12.95 
MG04.0004, 14.33 
MG05.0002," 4,402.36 "
MG05.0003, 195.24 
MG05.0004, 58.18 
MG05.0012, 214.29 
MG06.0001, 66.56 
MG06.0002, 89.29 
MG06.0003, 22.77 
MG06.0004, 42.86 
MG06.0006, 366.07 
MG06.0007, 656.25 
MG06.0008, 973.21 
MG06.0009, 339.29 
MG06.0010, 581.06 
MG06.0011, 937.50 
MG06.0018, 719.00 
MG06.0019, 942.00 
MG06.0012, 40.18 
MG06.0013, 40.18 
MG06.0014, 44.64 
MG06.0015, 42.56 
MG06.0016, 46.88 
MG06.0017, 50.89 
MG07.0001, 916.07 
MG07.0002, 634.82 
MG07.0003, 936.39 
MG07.0004, 210.71 
MG07.0005, 741.52 
MG07.0006, 691.96 
MG07.0007, 691.96 
MG07.0008, 745.99 
MG07.0009, 499.11 
MG07.0010, 433.04 
MG08.0001, 311.61 
MG08.0002, 415.18 
MG08.0003, 691.96 
MG08.0004," 1,042.86 "
MG08.0005," 1,327.68 "
MG08.0007," 2,373.21 "
MG08.0009," 3,482.14 "
MG08.0010," 7,964.29 "
MG08.0011," 11,150.45 "
MG08.0012, 66.96 
MG08.0013, 100.00 
MG08.0014, 146.96 
MG08.0015, 242.86 
MG08.0016, 335.27 
MG08.0018, 428.57 
MG08.0020, 526.79 
MG08.0039, 624.00 
MG08.0040," 1,054.00 "
MG08.0041," 1,599.29 "
MG08.0042," 3,923.90 "
MG08.0021, 562.79 
MG08.0022, 970.00 
MG08.0023," 1,250.00 "
MG08.0024," 2,276.79 "
MG08.0025," 3,522.07 "
MG08.0026," 3,905.93 "
MG08.0027," 4,649.17 "
MG08.0028," 5,335.79 "
MG08.0029," 5,046.58 "
MG08.0030, 756.18 
MG08.0031," 1,107.99 "
MG08.0032," 1,823.15 "
MG08.0033," 3,123.66 "
MG08.0034," 4,132.49 "
MG08.0035," 4,375.00 "
MG08.0036," 5,310.30 "
MG08.0037," 6,691.57 "
MG08.0038," 7,381.13 "
MG09.0001," 4,781.25 "
MG09.0002," 4,840.31 "
MG09.0003," 4,928.57 "
MG09.0004," 5,107.14 "
MG09.0005," 4,665.18 "
MG09.0006," 4,799.11 "
MG09.0007," 5,062.50 "
MG09.0008," 5,743.29 "
MG09.0009," 4,799.11 "
MG09.0010," 4,924.11 "
MG09.0011," 4,931.25 "
MG09.0012," 5,058.04 "
MG10.0001, 38.39 
MG10.0002, 39.29 
MG10.0003, 67.86 
MG10.0004, 44.69 
MG10.0005, 58.00 
MG10.0022, 54.40 
MG10.0006, 44.01 
MG10.0007, 65.71 
MG10.0008, 67.80 
MG10.0009, 58.87 
MG10.0010," 9,174.34 "
MG10.0011," 12,450.00 "
MG10.0012," 15,558.53 "
MG10.0013," 16,460.55 "
MG10.0014," 18,310.05 "
MG10.0015," 20,159.55 "
MG10.0016," 22,565.03 "
MG10.0017," 23,858.03 "
MG10.0018," 25,892.86 "
MG10.0019," 30,456.00 "
MG10.0020, 36.61 
MG99.0001, 85.64 
MG99.0002, 25.59 
MG99.0003, 125.00 
MG99.0012, 22.32 
MS01.0001, 593.75 
MS01.0002, 312.50 
MS01.0003, 625.00 
MS02.0001," 1,511.70 "
MS02.0002," 1,693.10 "
MS02.0003," 2,066.96 "
MS02.0004," 2,278.11 "
MS02.0005," 2,752.39 "
MS02.0006," 2,002.50 "
MS02.0007," 2,192.98 "
MS02.0008," 2,036.16 "
MS02.0009," 2,484.44 "
MS02.0010," 3,198.10 "
MS02.0011," 3,395.01 "
MS02.0012," 4,182.24 "
MS02.0013, 258.48 
MS02.0014, 143.30 
MS02.0015, 187.50 
MS02.0016, 366.07 
MS02.0017, 446.43 
MS02.0018, 63.81 
MS02.0019," 1,070.50 "
MS02.0020, 62.95 
MS02.0021, 64.73 
MS05.0001," 14,098.37 "
MS05.0002," 14,051.79 "
