pay_item_number_raw,pay_item_number,subitem,suffix,description,unit,valid_values_1,valid_values_2,valid_values_3,source_file
1500 (1),1500,1,,Sand Mattress,Cubic Meter,,,,Part J_1500.pdf
1501 (1),1501,1,,Rock Works Class I Rock,Tonne,,,,Part J_1500.pdf
1501 (2),1501,2,,Rock Works Class II Rock,Tonne,,,,Part J_1500.pdf
1501 (3),1501,3,,Rock Works Class III Rock,Tonne,,,,Part J_1500.pdf
1501 (4),1501,4,,Rock Works Class I Rock,Cubic Meter,,,,Part J_1500.pdf
1501 (5),1501,5,,Rock Works Class II Rock,Cubic Meter,,,,Part J_1500.pdf
1501 (6),1501,6,,Rock Works Class III Rock,Cubic Meter,,,,Part J_1500.pdf
1503 (1),1503,1,,Excavation for Waterfront Improvement,Cubic Meter,,,,Part J_1500.pdf
800 (1),800,1,,Clearing and Grubbing,Square Meter,,,,Part C_800.pdf
800 (2),800,2,,Clearing and Grubbing,Lump Sum,,,,Part C_800.pdf
800 (3) a1,800,3,a1,Individual Removal of Trees 150 - 300 mm dia,Each,,,,Part C_800.pdf
800 (3) a2,800,3,a2,Individual Removal of Trees 301 - 500 mm dia,Each,,,,Part C_800.pdf
800 (3) a3,800,3,a3,Individual Removal of Trees 501 - 750 mm dia,Each,,,,Part C_800.pdf
800 (3) a4,800,3,a4,Individual Removal of Trees 751 - 900 mm dia,Each,,,,Part C_800.pdf
800 (4),800,4,,Individual Removal of Trees above 900 mm dia,Each,,,,Part C_800.pdf
800 (5) a1,800,5,a1,Earth Balling 150 - 300 mm dia,Each,,,,Part C_800.pdf
800 (5) a2,800,5,a2,Earth Balling 301 - 500 mm dia,Each,,,,Part C_800.pdf
800 (5) a3,800,5,a3,Earth Balling 501 - 700 mm dia,Each,,,,Part C_800.pdf
800 (5) a4,800,5,a4,Earth Balling 701 - 900 mm dia,Each,,,,Part C_800.pdf
800 (5) a5,800,5,a5,Earth Balling above 900 mm dia,Each,,,,Part C_800.pdf
801 (1),801,1,,Removal of Structures and Obstruction,Lump Sum,,,,Part C_800.pdf
