materialCode,description,unit,unitCost
MG01.0001,COMMON BORROW,CUM,590
MG01.0002,SELECTED BORROW,CUM,665
MG01.0003,AGGREGATE SUBBASE COURSE,CUM,650
MG01.0004,AGGREGATE BASE COURSE,CUM,840
MG01.0005,AGGREGATE BASE COURSE (CRUSHED),CUM,790
MG01.0006,AGGREGATE SURFACE COURSE,CUM,880
MG01.0007,AGGREGATE SURFACE COURSE (CRUSHED),CUM,850
MG01.0008,FINE AGGREGATE (SAND),CUM,735
MG01.0009,"GRAVEL, 3/4"" (MAS 20 mm)",CUM,1100
MG01.0010,"GRAVEL, G1 (MAS 40 mm)",CUM,1100
MG01.0011,"GRAVEL, NATURAL",CUM,890
MG01.0012,"STONE, CLASS A (15 - 25 kg)",CUM,1050
MG01.0013,"STONE, CLASS B (30 - 70 kg)",CUM,850
MG01.0014,"STONE, CLASS C (60 - 100 kg)",CUM,800
MG01.0015,"STONE, CLASS D (100 - 200 kg)",CUM,740
MG02.0001,"ASPHALT CEMENT, PENETRATION GRADE 30-50",MTON,65500
MG02.0002,"ASPHALT CEMENT, PENETRATION GRADE 60-70",MTON,66000
MG02.0003,"ASPHALT CEMENT, PENETRATION GRADE 85-100",MTON,66900
MG02.0004,"ASPHALT CEMENT, PENETRATION GRADE 120-150",MTON,48900
MG02.0005,"ASPHALT CONCRETE, COLD-LAID (PLANT MIX)",MTON,10000
MG02.0006,"ASPHALT CONCRETE, HOT-LAID (PLANT MIX)",MTON,10080
MG02.0007,"CUT-BACK ASPHALT, MC30",MTON,47250
MG02.0008,"CUT-BACK ASPHALT, MC70",MTON,62500
MG02.0009,"CUT-BACK ASPHALT, MC250",MTON,44000
MG02.0010,"CUT-BACK ASPHALT, MC800",MTON,50000
MG02.0011,"CUT-BACK ASPHALT, MC3000",MTON,34000
MG02.0012,"CUT-BACK ASPHALT, RC70",MTON,46000
MG02.0013,"CUT-BACK ASPHALT, RC250",MTON,46700
MG02.0014,"CUT-BACK ASPHALT, RC800",MTON,47200
MG02.0015,"CUT-BACK ASPHALT, RC3000",MTON,45100
MG02.0016,"EMULSIFIED ASPHALT, ANIONIC",MTON,48800
MG02.0017,"EMULSIFIED ASPHALT, CATIONIC CRS-1",MTON,65000
MG02.0018,"EMULSIFIED ASPHALT, CATIONIC CRS-2",MTON,66000
MG02.0019,"EMULSIFIED ASPHALT, CATIONIC SS1",MTON,73245
MG02.0020,TAR / ASPHALT PAINT,GAL,655
MG04.0001,"CHB LOAD BEARING (4"" x 8"" x 16"")",PC,26
MG04.0002,"CHB LOAD BEARING (6"" x 8"" x 16"")",PC,31
MG04.0003,"CHB ORDINARY (4"" x 8"" x 16"")",PC,20
MG04.0004,"CHB ORDINARY (6"" x 8"" x 16"")",PC,23
MG05.0001,CEMENT WATERPROOFING COMPOUND,KG,52
MG05.0002,CONCRETE EPOXY (PART A & B SET),GAL,713
MG05.0003,CONCRETE NEUTRALIZER,LTR,192.5
MG05.0004,CURING COMPOUND,LTR,80
MG05.0005,PVC SOLVENT CEMENT,LTR,165
MG05.0006,RUST CONVERTER/REMOVER,GAL,665
MG05.0007,TERMICIDE (CLEAR),LTR,595
MG05.0008,DIESEL GEAR OIL,LTR,292
MG05.0009,DIESEL,LTR,50.45
MG05.0010,"GASOLINE, PREMIUM",LTR,56.92
MG05.0011,"GASOLINE, REGULAR",LTR,55.3
MG05.0012,GREASE,LTR,376.03
