Pay Item,Pay Item (Normalized),Description,Unit,Trade,Category,Division,Part,Item,Sources
"800 (1)","800 (1)","Clearing and Grubbing","Square Meter","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (2)","800 (2)","Clearing and Grubbing","Lump Sum","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (3) a1","800 (3)A1","Individual Removal of Trees 150 - 300 mm dia","Each","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (3) a2","800 (3)A2","Individual Removal of Trees 301 - 500 mm dia","Each","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (3) a3","800 (3)A3","Individual Removal of Trees 501 - 750 mm dia","Each","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (3) a4","800 (3)A4","Individual Removal of Trees 751 - 900 mm dia","Each","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (4)","800 (4)","Individual Removal of Trees above 900 mm dia","Each","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (5) a1","800 (5)A1","Earth Balling 150 - 300 mm dia","Each","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (5) a2","800 (5)A2","Earth Balling 301 - 500 mm dia","Each","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (5) a3","800 (5)A3","Earth Balling 501 - 700 mm dia","Each","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (5) a4","800 (5)A4","Earth Balling 701 - 900 mm dia","Each","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"800 (5) a5","800 (5)A5","Earth Balling above 900 mm dia","Each","Earthwork","Clearing and Grubbing","DIVISION I - GENERAL","PART C","ITEM 800 - CLEARING AND GRUBBING","BuildingEstimate, Cost-Estimate"
"801 (1)","801 (1)","Removal of Structures and Obstruction","Lump Sum","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (10)","801 (10)","Removal of Structures and Obstruction (Offshore), Concrete","Cubic Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (2)","801 (2)","Removal of Actual Structures/Obstruction","Each","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (3) a","801 (3)A","Removal of Actual Structures/Obstruction PCCP Page 1 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Square Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (3) b","801 (3)B","Removal of Actual Structures/Obstruction ACP","Square Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (3) c","801 (3)C","Removal of Actual Structures/Obstruction Sidewalk","Square Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (4) a1","801 (4)A1","Removal of Actual Structures/Obstruction 610 mm dia. RCPC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (4) a2","801 (4)A2","Removal of Actual Structures/Obstruction 760 mm dia. RCPC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (4) a3","801 (4)A3","Removal of Actual Structures/Obstruction 910 mm dia. RCPC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (4) a4","801 (4)A4","Removal of Actual Structures/Obstruction 1070 mm dia. RCPC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (4) a5","801 (4)A5","Removal of Actual Structures/Obstruction 1220 mm dia. RCPC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (4) a6","801 (4)A6","Removal of Actual Structures/Obstruction 1520 mm dia. RCPC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (4) b","801 (4)B","Removal of Actual Structures/Obstruction Curb","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (4) c","801 (4)C","Removal of Actual Structures/Obstruction Curb and Gutter","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) a1","801 (5)A1","Removal of Pipes other than Pipe Culverts 50 mm dia. PVC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) a2","801 (5)A2","Removal of Pipes other than Pipe Culverts 75 mm dia. PVC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) a3","801 (5)A3","Removal of Pipes other than Pipe Culverts 100 mm dia. PVC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) a4","801 (5)A4","Removal of Pipes other than Pipe Culverts 150 mm dia. PVC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) a5","801 (5)A5","Removal of Pipes other than Pipe Culverts 200 mm dia. PVC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) a6","801 (5)A6","Removal of Pipes other than Pipe Culverts 250 mm dia. PVC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) a7","801 (5)A7","Removal of Pipes other than Pipe Culverts 300 mm dia. PVC","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) b1","801 (5)B1","Removal of Pipes other than Pipe Culverts 150 mm dia. Concrete","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) b2","801 (5)B2","Removal of Pipes other than Pipe Culverts 200 mm dia. Concrete","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) b3","801 (5)B3","Removal of Pipes other than Pipe Culverts 250 mm dia. Concrete","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) b4","801 (5)B4","Removal of Pipes other than Pipe Culverts 300 mm dia. Concrete","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) b5","801 (5)B5","Removal of Pipes other than Pipe Culverts 350 mm dia. Concrete High Density","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) c1","801 (5)C1","Removal of Pipes other than Pipe Culverts 50 mm dia Polyethylene HDPE High Density","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) c2","801 (5)C2","Removal of Pipes other than Pipe Culverts 75 mm dia Polyethylene HDPE High Density","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) c3","801 (5)C3","Removal of Pipes other than Pipe Culverts 100 mm dia Polyethylene HDPE High Density","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) c4","801 (5)C4","Removal of Pipes other than Pipe Culverts 150 mm dia Polyethylene HDPE Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS High Density","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) c5","801 (5)C5","Removal of Pipes other than Pipe Culverts 200 mm dia Polyethylene HDPE High Density","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) c6","801 (5)C6","Removal of Pipes other than Pipe Culverts 250 mm dia Polyethylene HDPE High Density","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (5) c7","801 (5)C7","Removal of Pipes other than Pipe Culverts 300 mm dia Polyethylene HDPE","Linear Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (6)","801 (6)","Removal of Structures and Obstruction, Concrete","Cubic Meter","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (7) a","801 (7)A","Removal of Structures and Obstruction Steel","Kilogram","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (7) b","801 (7)B","Removal of Structures and Obstruction Steel H-Piles","Kilogram","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (7) c","801 (7)C","Removal of Structures and Obstruction RSB","Kilogram","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (8)","801 (8)","Relocation of Structures","Lump Sum","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"801 (9)","801 (9)","Removal of Structures and Obstruction (Offshore), Steel","Kilogram","Earthwork","Removal of Structures","DIVISION I - GENERAL","PART C","ITEM 801 � REMOVAL OF STRUCTURES AND OBSTRUCTIONS","BuildingEstimate, Cost-Estimate"
"802 (1)","802 (1)","Unsuitable Excavation","Cubic Meter","Earthwork","Excavation","DIVISION I - GENERAL","PART C","ITEM 802 � EXCAVATION","BuildingEstimate, Cost-Estimate"
"802 (2)","802 (2)","Surplus Common Excavation","Cubic Meter","Earthwork","Excavation","DIVISION I - GENERAL","PART C","ITEM 802 � EXCAVATION","BuildingEstimate, Cost-Estimate"
